system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,NDVI,class,.geo
2_76_0,0.2105,0.087,0.0535,0.0794,0.0637,0.1081,0.2593,0.3679,0.387,0.7173286,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.88440964337676,33.17851145096302]}"
2_77_0,0.1479,0.0806,0.0535,0.0656,0.0555,0.0853,0.2528,0.3738,0.3861,0.7486413,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.88602661088817,33.19998118625348]}"
2_78_0,0.2745,0.1952,0.0581,0.0836,0.092,0.1596,0.2515,0.2948,0.3334,0.5674659,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.81676650248255,32.581311450080364]}"
2_79_0,0.2631,0.1786,0.0646,0.0977,0.09895,0.14215,0.256,0.32895,0.3293,0.53788674,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.73699610525274,32.5590332310342]}"
2_80_0,0.27175,0.19935,0.0834,0.1232,0.1404,0.1707,0.25875,0.32545,0.32875,0.40147075,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.71786198970099,32.592630222660276]}"
2_81_0,0.2871,0.2366,0.091,0.1226,0.1602,0.1689,0.2533,0.3078,0.2998,0.30347827,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.82278521488615,32.59837944047864]}"
2_82_0,0.2363,0.1665,0.0617,0.096,0.1058,0.1402,0.2351,0.2899,0.2985,0.47662625,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.70914833144504,32.61041686528584]}"
2_83_0,0.22545,0.15875,0.0633,0.0987,0.1013,0.14895,0.2431,0.31815,0.3467,0.5477679,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.69818888497878,32.566848574006045]}"
2_84_0,0.2312,0.1494,0.0658,0.0937,0.0961,0.1375,0.2364,0.3284,0.3705,0.588084,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.56478906528703,32.6447325091392]}"
2_85_0,0.2829,0.2491,0.0876,0.114,0.14,0.1605,0.1826,0.2015,0.2143,0.2097093,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.54826006405922,32.64329520468461]}"
2_86_0,0.2426,0.1588,0.0554,0.0777,0.0914,0.1358,0.253,0.3264,0.3406,0.57685184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.57997059358864,32.66323780399207]}"
